CustomerID,CustomerName,Gender,DateOfBirth,City,Country
1,Customer_1,Male,1979-06-23,New York,USA
2,Customer_2,Male,1983-07-03,Los Angeles,USA
3,Customer_3,Male,1970-04-28,Chicago,USA
4,Customer_4,Male,1977-04-16,New York,USA
5,Customer_5,Male,1975-10-08,Chicago,USA
6,Customer_6,Female,1969-02-11,Los Angeles,USA
7,Customer_7,Male,1991-10-24,Los Angeles,USA
8,Customer_8,Male,1984-11-07,Los Angeles,USA
9,Customer_9,Female,1973-09-23,Los Angeles,USA
10,Customer_10,Female,1998-03-14,Los Angeles,USA
11,Customer_11,Female,1990-12-09,Chicago,USA
12,Customer_12,Female,1992-09-12,New York,USA
13,Customer_13,Male,1985-04-03,New York,USA
14,Customer_14,Male,2000-10-28,Houston,USA
15,Customer_15,Male,1979-03-21,New York,USA
16,Customer_16,Female,1978-03-26,Phoenix,USA
17,Customer_17,Female,1979-12-03,Chicago,USA
18,Customer_18,Female,1979-10-03,Chicago,USA
19,Customer_19,Male,1991-07-27,Phoenix,USA
20,Customer_20,Female,1991-09-28,Chicago,USA
21,Customer_21,Male,1987-07-21,Chicago,USA
22,Customer_22,Female,1987-09-27,Los Angeles,USA
23,Customer_23,Female,1991-12-09,Phoenix,USA
24,Customer_24,Female,1963-02-17,Chicago,USA
25,Customer_25,Female,1986-05-13,Los Angeles,USA
26,Customer_26,Female,1962-12-05,Los Angeles,USA
27,Customer_27,Male,1992-06-27,New York,USA
28,Customer_28,Male,1982-09-23,Chicago,USA
29,Customer_29,Male,1993-12-08,Phoenix,USA
30,Customer_30,Female,1962-11-19,Chicago,USA
31,Customer_31,Female,1973-06-24,Houston,USA
32,Customer_32,Female,1973-05-05,New York,USA
33,Customer_33,Female,1970-07-19,New York,USA
34,Customer_34,Male,1981-02-12,Chicago,USA
35,Customer_35,Female,1978-06-18,Chicago,USA
36,Customer_36,Male,1979-12-02,Chicago,USA
37,Customer_37,Female,1982-09-20,Los Angeles,USA
38,Customer_38,Female,1969-04-20,Phoenix,USA
39,Customer_39,Male,1995-06-28,Los Angeles,USA
40,Customer_40,Male,2000-06-25,Chicago,USA
41,Customer_41,Male,1979-11-20,Chicago,USA
42,Customer_42,Male,1966-06-23,Houston,USA
43,Customer_43,Male,1999-11-17,Phoenix,USA
44,Customer_44,Female,1993-08-10,Phoenix,USA
45,Customer_45,Male,1967-01-04,Houston,USA
46,Customer_46,Male,1974-02-07,Los Angeles,USA
47,Customer_47,Female,1994-01-07,Chicago,USA
48,Customer_48,Male,1968-03-26,Houston,USA
49,Customer_49,Female,1989-05-19,Los Angeles,USA
50,Customer_50,Female,1982-03-17,Los Angeles,USA
51,Customer_51,Male,1980-10-23,Houston,USA
52,Customer_52,Female,1963-07-15,New York,USA
53,Customer_53,Male,1983-10-17,Phoenix,USA
54,Customer_54,Male,1971-02-20,Los Angeles,USA
55,Customer_55,Female,1995-11-24,Houston,USA
56,Customer_56,Female,1962-01-05,Los Angeles,USA
57,Customer_57,Male,1972-11-04,Chicago,USA
58,Customer_58,Male,1998-12-20,Houston,USA
59,Customer_59,Male,1992-12-02,New York,USA
60,Customer_60,Male,1976-11-13,New York,USA
61,Customer_61,Female,1975-09-01,Phoenix,USA
62,Customer_62,Female,1977-04-14,Chicago,USA
63,Customer_63,Female,1978-05-19,New York,USA
64,Customer_64,Female,1985-06-28,New York,USA
65,Customer_65,Female,1994-01-27,Phoenix,USA
66,Customer_66,Female,1981-08-14,Los Angeles,USA
67,Customer_67,Male,1965-05-22,Phoenix,USA
68,Customer_68,Male,1985-12-13,Los Angeles,USA
